Month,Scheduled Operator,Country to/from,Passengers In,Freight In,Mail In,Passengers Out,Freight Out,Mail Out,Year
Jan009,Aerolineas Argentinas,Argentina,"3,021",4.3,0.6,"1,959",8.3,0.0,2009
Jan009,Aerolineas Argentinas,New Zealand,627,76.3,0.0,"1,821",68.5,0.0,2009
Jan009,Air Caledonie,New Caledonia,"6,658",4.9,0.6,"5,365",68.6,1.3,2009
Jan009,Air Canada,Canada,"7,489",174.8,0.0,"6,424",105.2,0.0,2009
Jan009,Air China,China,"12,458",201.3,18.6,"11,163",142.4,2.9,2009
Jan009,Air Mauritius,Mauritius,"4,635",36.6,0.4,"3,782",80.2,0.0,2009
Jan009,Air New Zealand,Cook Islands,94,0.0,0.0,39,0.0,0.0,2009
Jan009,Air New Zealand,Germany,..,1.1,0.0,..,..,..,2009
Jan009,Air New Zealand,New Zealand,"109,904","1,811.3",197.7,"100,460","1,385.6",8.3,2009
Jan009,Air New Zealand,USA,..,164.0,0.0,..,..,..,2009
Jan009,Air Niugini,Papua New Guinea,"6,817",33.7,1.8,"7,459",226.4,10.4,2009
Jan009,Air Pacific,Fiji,"19,539",184.5,0.3,"13,401",248.8,7.7,2009
Jan009,Air Tahiti Nui,Tahiti,"1,917",40.2,0.0,"1,964",54.9,0.0,2009
Jan009,Air Vanuatu,Vanuatu,"5,212",12.4,0.0,"4,390",29.5,0.0,2009
Jan009,AirAsia X,Malaysia,"21,143",106.5,0.0,"17,676",57.3,0.0,2009
Jan009,Airlines PNG,Papua New Guinea,500,0.7,0.0,598,4.0,0.0,2009
Jan009,Airnorth,Indonesia,397,0.0,0.0,325,0.0,0.0,2009
Jan009,Asiana Airlines,Korea,"8,996",164.3,7.2,"7,684",75.0,0.0,2009
Jan009,British Airways,Singapore,"2,602",114.8,0.0,"2,064",156.2,0.0,2009
Jan009,British Airways,Thailand,"4,270",42.1,0.0,"3,990",61.4,0.0,2009
Jan009,British Airways,UK,"9,854",281.2,77.1,"8,899",101.2,0.0,2009
Jan009,Cargolux Airlines Intl,Luxembourg,..,65.1,0.0,..,0.0,0.0,2009
Jan009,Cargolux Airlines Intl,New Zealand,..,..,..,..,43.3,0.0,2009
Jan009,Cargolux Airlines Intl,Singapore,..,28.4,0.0,..,..,..,2009
Jan009,Cargolux Airlines Intl,USA,..,..,..,..,36.3,0.0,2009
Jan009,Cathay Pacific Airways,Hong Kong (SAR),"71,949","2,393.9",128.9,"59,968","3,818.2",33.0,2009
Jan009,China Airlines,Taiwan,"9,003",49.0,9.3,"7,596",25.8,0.0,2009
Jan009,China Eastern Airlines,China,"13,224",90.6,9.5,"9,311",80.5,1.7,2009
Jan009,China Southern Airlines,China,"8,399",182.8,16.1,"6,431",9.7,3.5,2009
Jan009,Continental Micronesia,Guam,"1,128",0.3,0.0,"1,084",1.2,0.0,2009
Jan009,Emirates,New Zealand,"28,408","1,376.3",0.0,"19,391",745.6,0.0,2009
Jan009,Emirates,Singapore,"1,653",104.6,19.9,"1,161",453.0,0.0,2009
Jan009,Emirates,Thailand,"2,499",0.9,0.2,914,0.0,0.0,2009
Jan009,Emirates,United Arab Emirates,"47,921",960.1,204.2,"44,881","1,503.1",0.2,2009
Jan009,Etihad Airways,Singapore,852,47.8,0.0,816,64.9,0.0,2009
Jan009,Etihad Airways,United Arab Emirates,"16,644",226.3,34.1,"14,554",427.1,34.5,2009
