year,month,passengers_in,passengers_out,passengers_total,freight_in,freight_out,freight_total,mail_in,mail_out,mail_total,aircraft_in,aircraft_out,aircraft_total,flights_in,flights_out,flights_total,passengers_incl_transit_in,passengers_incl_transit_out,passengers_incl_transit_total,available_seats_in,available_seats_out,available_seats_total,seat_utilisation_in,seat_utilisation_out,seat_utilisation_total
2009,Jan,1223646,1025778,2249424,25791781,26785552,52577333,1744015,1013329,2757344,6506,6480,12986,5919,5892,11811,1244404,1045681,2290085,1457769,1457446,2915215,85.36359327163632,71.74749527598277,78.5562985920421
2009,Feb,969607,823540,1793147,27184874,27304789,54489663,1594689,909102,2503791,5634,5599,11233,5106,5071,10177,989205,842937,1832142,1257714,1255734,2513448,78.65102877124687,67.12703486566423,72.89357090339645
2009,Mar,937697,933843,1871540,31509322,29527013,61036335,1713906,1052860,2766766,6182,6149,12331,5596,5563,11159,955905,952070,1907975,1370622,1372128,2742750,69.74242351282848,69.38638377760675,69.56430589736578
2009,Apr,971404,1004204,1975608,28921311,26224702,55146013,1710087,890318,2600405,6046,6016,12062,5491,5460,10951,986957,1019694,2006651,1341715,1340952,2682667,73.55936245774997,76.04254290981332,74.8005995526094
2009,May,842073,922435,1764508,31179480,24396268,55575748,1870405,961951,2832356,6058,6030,12088,5471,5443,10914,855367,935498,1790865,1341071,1342106,2683177,63.78237990382314,69.70373428030274,66.7441991340862
2009,Jun,853975,975920,1829895,33153606,22880254,56033860,1893977,809285,2703262,5921,5898,11819,5351,5328,10679,866799,988882,1855681,1298856,1300356,2599212,66.73557345848963,76.04702096964216,71.39398402284999
2009,Jul,1140351,999000,2139351,37173487,23136222,60309709,1974998,965016,2940014,6366,6335,12701,5829,5797,11626,1154875,1013270,2168145,1402731,1401950,2804681,82.33046820808838,72.27575876457792,77.30451341881661
2009,Aug,994466,1005333,1999799,36230150,23596909,59827059,1978490,868883,2847373,6405,6370,12775,5838,5803,11641,1006407,1017519,2023926,1396141,1396556,2792697,72.0849111944997,72.85916211021971,72.47209417992715
2009,Sep,1041573,1045194,2086767,35048166,24711797,59759963,2069386,911162,2980548,6220,6196,12416,5649,5625,11274,1051541,1055502,2107043,1355726,1358180,2713906,77.56294413472928,77.71444138479436,77.63876125407438
2009,Oct,1195265,1022497,2217762,38982629,25816738,64799367,2296536,976591,3273127,6453,6421,12874,5902,5870,11772,1206564,1033707,2240271,1427459,1428249,2855708,84.52529985099397,72.375825223753,78.44888202855475
2009,Nov,1021470,1054438,2075908,41068183,26365645,67433828,2374963,1157410,3532373,6256,6232,12488,5730,5706,11436,1035574,1068440,2104014,1385788,1388481,2774269,74.72816909945821,76.9502787578656,75.8403024364256
2009,Dec,1115592,1287599,2403191,38966809,28400090,67366899,2894794,1802496,4697290,6764,6730,13494,6221,6187,12408,1133022,1304994,2438016,1518083,1518971,3037054,74.63504959873735,85.91302928100669,80.27568821627801
2010,Jan,1331612,1151057,2482669,32362026,25409324,57771350,2071030,910213,2981243,6867,6842,13709,6320,6295,12615,1349980,1168986,2518966,1551894,1554454,3106348,86.98918869458868,75.20235400983239,81.0909144757767
2010,Feb,1078500,951627,2030127,33255288,27621164,60876452,1816421,804580,2621001,6069,6050,12119,5561,5542,11103,1097606,970704,2068310,1362745,1364393,2727138,80.54375543480255,71.14548374258737,75.84177991726125
2010,Mar,1052707,1092822,2145529,41445472,27532854,68978326,2226917,903620,3130537,6628,6589,13217,6076,6037,12113,1070261,1110443,2180704,1476308,1478344,2954652,72.49578001338473,75.11397888448155,73.80578152689387
2010,Apr,1026383,1036390,2062773,37377196,24543693,61920889,2127204,834630,2961834,6319,6315,12634,5862,5860,11722,1039114,1048977,2088091,1424043,1429089,2853132,72.96928533759163,73.4017965291175,73.18592339926789
2010,May,893089,993010,1886099,41484612,25591501,67076113,2372185,893412,3265597,6392,6390,12782,5907,5906,11813,904333,1004303,1908636,1429353,1432360,2861713,63.2686956965844,70.11526431902594,66.69557708966623
2010,Jun,963769,1131910,2095679,39786108,24072577,63858685,2132827,777114,2909941,6322,6322,12644,5835,5836,11671,974691,1142691,2117382,1412740,1415345,2828085,68.99294987046449,80.73586298746949,74.86981473329125
2010,Jul,1299592,1101544,2401136,41364184,25379247,66743431,2325740,874488,3200228,6869,6857,13726,6355,6343,12698,1312472,1114207,2426679,1544443,1543804,3088247,84.98028091680949,72.17282763874171,78.57787929527657
2010,Aug,1083502,1130243,2213745,43464915,25074383,68539298,2366331,879605,3245936,6713,6713,13426,6230,6230,12460,1094494,1141322,2235816,1512728,1517780,3030508,72.35233300368606,75.19680059033588,73.77693772793208
2010,Sep,1142673,1173690,2316363,43914047,24990976,68905023,2339704,797785,3137489,6536,6503,13039,6065,6032,12097,1152897,1183849,2336746,1470205,1472034,2942239,78.41743158267045,80.42266686774899,79.42067248785703
2010,Oct,1288712,1084487,2373199,47291560,26196014,73487574,2691457,907589,3599046,6685,6653,13338,6204,6172,12376,1300130,1095638,2395768,1512112,1514265,3026377,85.98106489466389,72.35444258435611,79.16290667025291
2010,Nov,1084692,1120950,2205642,47738964,28287573,76026537,2633296,1100920,3734216,6530,6500,13030,6081,6052,12133,1098395,1134481,2232876,1467484,1471408,2938892,74.84885695516952,77.10172841251372,75.9767966975309
2010,Dec,1184169,1393185,2577354,42552110,29665903,72218013,3224338,1695442,4919780,7061,7039,14100,6630,6610,13240,1201083,1409968,2611051,1620376,1624182,3244558,74.12372190158334,86.81096084059546,80.47478269767407
2011,Jan,1460356,1248767,2709123,35824725,25885611,61710336,2521001,864161,3385162,7219,7210,14429,6805,6795,13600,1480726,1268452,2749178,1688938,1688977,3377915,87.6720163795237,75.10179238675245,81.38683181785214
2011,Feb,1139969,980257,2120226,34255676,24591433,58847109,2214719,779086,2993805,6282,6268,12550,5922,5909,11831,1159250,999308,2158558,1463773,1463789,2927562,79.19602288059693,68.26858242547253,73.73227279217315
2011,Mar,1055726,1055897,2111623,45592781,28793756,74386537,2697735,930393,3628128,6874,6835,13709,6455,6419,12874,1071136,1071376,2142512,1580537,1581828,3162365,67.77038436936307,67.73024627203463,67.7503071277351
2011,Apr,1097300,1188149,2285449,42295778,24570552,66866330,2689044,802069,3491113,6772,6757,13529,6362,6347,12709,1110054,1200844,2310898,1560978,1563737,3124715,71.11272548363911,76.79322034331861,73.95548073984347
2011,May,1010388,1069097,2079485,42854408,25820495,68674903,2625606,816824,3442430,6791,6785,13576,6334,6328,12662,1021772,1080587,2102359,1554320,1556568,3110888,65.73755725976633,69.42112390849613,67.58067149958468
2011,Jun,991794,1164150,2155944,42689486,23381966,66071452,2711318,842976,3554294,6338,6318,12656,5890,5870,11760,998919,1171057,2169976,1474466,1474521,2948987,67.74784905179231,79.41948605682795,73.58377639508075
2011,Jul,1366044,1165850,2531894,44935486,24992676,69928162,2781751,860731,3642482,7039,7026,14065,6712,6699,13411,1378802,1178256,2557058,1644367,1642916,3287283,83.85001645009903,71.71736108236819,77.78636643087924
2011,Aug,1144506,1164418,2308924,47915028,26161237,74076265,3035686,822363,3858049,6940,6949,13889,6622,6631,13253,1156135,1176270,2332405,1617893,1621656,3239549,71.45929922436156,72.53511225562018,71.99783056221715
2011,Sep,1167424,1234511,2401935,45810038,25552829,71362867,2750633,838223,3588856,6735,6720,13455,6425,6410,12835,1181690,1248691,2430381,1573750,1574639,3148389,75.08752978554408,79.30014435054638,77.19443181893978
2011,Oct,1356836,1119499,2476335,48083312,26467844,74551156,2688575,845768,3534343,6965,6968,13933,6637,6642,13279,1371530,1134111,2505641,1629253,1631267,3260520,84.18152367987048,69.52332144278036,76.84789542772319
2011,Nov,1141680,1161292,2302972,47436708,28657712,76094420,2875956,995785,3871741,6707,6675,13382,6378,6348,12726,1163056,1182572,2345628,1567551,1566445,3133996,74.19573589631214,75.4940007469142,74.84463924012667
